date,article,sales,revenue,avg_price,weekday,month,is_public_holiday,lag_1,lag_7
2021-04-10,BAGUETTE,32.0,28.8,0.9,5,4,False,26.0,36.0
2021-04-11,BAGUETTE,53.0,47.7,0.9,6,4,False,32.0,91.0
2021-04-12,BAGUETTE,31.0,27.900000000000002,0.9,0,4,False,53.0,44.0
2021-04-13,BAGUETTE,29.0,26.1,0.9,1,4,False,31.0,29.0
2021-04-14,BAGUETTE,16.0,14.4,0.9,2,4,False,29.0,0.0
2021-04-15,BAGUETTE,24.0,21.6,0.9,3,4,False,16.0,31.0
2021-04-16,BAGUETTE,35.0,31.5,0.9,4,4,False,24.0,26.0
2021-04-17,BAGUETTE,34.0,30.6,0.9,5,4,False,35.0,32.0
2021-04-18,BAGUETTE,42.0,37.800000000000004,0.9000000000000001,6,4,False,34.0,53.0
2021-04-19,BAGUETTE,35.0,31.5,0.9,0,4,False,42.0,31.0
2021-04-20,BAGUETTE,30.0,27.0,0.9,1,4,False,35.0,29.0
2021-04-21,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,2,4,False,30.0,16.0
2021-04-22,BAGUETTE,30.0,27.0,0.9,3,4,False,26.0,24.0
2021-04-23,BAGUETTE,34.0,30.6,0.9,4,4,False,30.0,35.0
2021-04-24,BAGUETTE,41.0,36.9,0.8999999999999999,5,4,False,34.0,34.0
2021-04-25,BAGUETTE,53.0,47.7,0.9,6,4,False,41.0,42.0
2021-04-26,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,0,4,False,53.0,35.0
2021-04-27,BAGUETTE,32.0,28.8,0.9,1,4,False,26.0,30.0
2021-04-28,BAGUETTE,23.0,20.7,0.9,2,4,False,32.0,26.0
2021-04-29,BAGUETTE,28.0,25.2,0.9,3,4,False,23.0,30.0
2021-04-30,BAGUETTE,25.0,22.5,0.9,4,4,False,28.0,34.0
2021-05-01,BAGUETTE,31.0,27.900000000000002,0.9,5,5,True,25.0,41.0
2021-05-02,BAGUETTE,48.0,43.2,0.9,6,5,False,31.0,53.0
2021-05-03,BAGUETTE,29.0,26.1,0.9,0,5,False,48.0,26.0
2021-05-04,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,1,5,False,29.0,32.0
2021-05-05,BAGUETTE,30.0,27.0,0.9,2,5,False,26.0,23.0
2021-05-06,BAGUETTE,22.0,19.8,0.9,3,5,False,30.0,28.0
2021-05-07,BAGUETTE,29.0,26.1,0.9,4,5,False,22.0,25.0
2021-05-08,BAGUETTE,53.0,47.7,0.9,5,5,True,29.0,31.0
2021-05-09,BAGUETTE,45.0,40.5,0.9,6,5,False,53.0,48.0
2021-05-10,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,0,5,False,45.0,29.0
2021-05-11,BAGUETTE,39.0,35.1,0.9,1,5,False,26.0,26.0
2021-05-12,BAGUETTE,41.0,36.9,0.8999999999999999,2,5,False,39.0,30.0
2021-05-13,BAGUETTE,57.0,51.300000000000004,0.9,3,5,True,41.0,22.0
2021-05-14,BAGUETTE,66.0,59.4,0.9,4,5,False,57.0,29.0
2021-05-15,BAGUETTE,84.0,75.60000000000001,0.9000000000000001,5,5,False,66.0,53.0
2021-05-16,BAGUETTE,73.0,65.7,0.9,6,5,False,84.0,45.0
2021-05-17,BAGUETTE,0.0,0.0,,0,5,False,73.0,26.0
2021-05-18,BAGUETTE,0.0,0.0,,1,5,False,0.0,39.0
2021-05-19,BAGUETTE,0.0,0.0,,2,5,False,0.0,41.0
2021-05-20,BAGUETTE,0.0,0.0,,3,5,False,0.0,57.0
2021-05-21,BAGUETTE,22.0,19.8,0.9,4,5,False,0.0,66.0
2021-05-22,BAGUETTE,44.0,39.6,0.9,5,5,False,22.0,84.0
2021-05-23,BAGUETTE,68.0,61.2,0.9,6,5,False,44.0,73.0
2021-05-24,BAGUETTE,51.0,45.900000000000006,0.9000000000000001,0,5,True,68.0,0.0
2021-05-25,BAGUETTE,37.0,33.3,0.8999999999999999,1,5,False,51.0,0.0
2021-05-26,BAGUETTE,19.0,17.1,0.9,2,5,False,37.0,0.0
2021-05-27,BAGUETTE,32.0,28.8,0.9,3,5,False,19.0,0.0
2021-05-28,BAGUETTE,19.0,17.1,0.9,4,5,False,32.0,22.0
2021-05-29,BAGUETTE,50.0,45.0,0.9,5,5,False,19.0,44.0
2021-05-30,BAGUETTE,55.0,49.5,0.9,6,5,False,50.0,68.0
2021-05-31,BAGUETTE,28.0,25.2,0.9,0,5,False,55.0,51.0
2021-06-01,BAGUETTE,29.0,26.1,0.9,1,6,False,28.0,37.0
2021-06-02,BAGUETTE,20.0,18.0,0.9,2,6,False,29.0,19.0
2021-06-03,BAGUETTE,19.0,17.1,0.9,3,6,False,20.0,32.0
2021-06-04,BAGUETTE,31.0,27.900000000000002,0.9,4,6,False,19.0,19.0
2021-06-05,BAGUETTE,70.0,63.0,0.9,5,6,False,31.0,50.0
2021-06-06,BAGUETTE,78.0,70.2,0.9,6,6,False,70.0,55.0
2021-06-07,BAGUETTE,28.0,25.2,0.9,0,6,False,78.0,28.0
2021-06-08,BAGUETTE,29.0,26.1,0.9,1,6,False,28.0,29.0
2021-06-09,BAGUETTE,24.0,21.6,0.9,2,6,False,29.0,20.0
2021-06-10,BAGUETTE,29.0,26.1,0.9,3,6,False,24.0,19.0
2021-06-11,BAGUETTE,22.0,19.8,0.9,4,6,False,29.0,31.0
2021-06-12,BAGUETTE,40.0,36.0,0.9,5,6,False,22.0,70.0
2021-06-13,BAGUETTE,54.0,48.6,0.9,6,6,False,40.0,78.0
2021-06-14,BAGUETTE,39.0,35.1,0.9,0,6,False,54.0,28.0
2021-06-15,BAGUETTE,19.0,17.1,0.9,1,6,False,39.0,29.0
2021-06-16,BAGUETTE,22.0,19.8,0.9,2,6,False,19.0,24.0
2021-06-17,BAGUETTE,28.0,25.2,0.9,3,6,False,22.0,29.0
2021-06-18,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,4,6,False,28.0,22.0
2021-06-19,BAGUETTE,50.0,45.0,0.9,5,6,False,26.0,40.0
2021-06-20,BAGUETTE,60.0,54.0,0.9,6,6,False,50.0,54.0
2021-06-21,BAGUETTE,38.0,34.2,0.9,0,6,False,60.0,39.0
2021-06-22,BAGUETTE,35.0,31.5,0.9,1,6,False,38.0,19.0
2021-06-23,BAGUETTE,22.0,19.8,0.9,2,6,False,35.0,22.0
2021-06-24,BAGUETTE,34.0,30.6,0.9,3,6,False,22.0,28.0
2021-06-25,BAGUETTE,23.0,20.7,0.9,4,6,False,34.0,26.0
2021-06-26,BAGUETTE,50.0,45.0,0.9,5,6,False,23.0,50.0
2021-06-27,BAGUETTE,51.0,45.9,0.9,6,6,False,50.0,60.0
2021-06-28,BAGUETTE,18.0,16.2,0.8999999999999999,0,6,False,51.0,38.0
2021-06-29,BAGUETTE,27.0,24.3,0.9,1,6,False,18.0,35.0
2021-06-30,BAGUETTE,21.0,18.900000000000002,0.9000000000000001,2,6,False,27.0,22.0
2021-07-01,BAGUETTE,27.0,24.3,0.9,3,7,False,21.0,34.0
2021-07-02,BAGUETTE,21.0,18.900000000000002,0.9000000000000001,4,7,False,27.0,23.0
2021-07-03,BAGUETTE,35.0,31.5,0.9,5,7,False,21.0,50.0
2021-07-04,BAGUETTE,58.0,52.2,0.9,6,7,False,35.0,51.0
2021-07-05,BAGUETTE,34.0,30.6,0.9,0,7,False,58.0,18.0
2021-07-06,BAGUETTE,37.0,33.300000000000004,0.9000000000000001,1,7,False,34.0,27.0
2021-07-07,BAGUETTE,40.0,36.0,0.9,2,7,False,37.0,21.0
2021-07-08,BAGUETTE,33.0,29.7,0.9,3,7,False,40.0,27.0
2021-07-09,BAGUETTE,36.0,32.4,0.8999999999999999,4,7,False,33.0,21.0
2021-07-10,BAGUETTE,36.0,32.4,0.8999999999999999,5,7,False,36.0,35.0
2021-07-11,BAGUETTE,75.0,67.5,0.9,6,7,False,36.0,58.0
2021-07-12,BAGUETTE,49.0,44.1,0.9,0,7,False,75.0,34.0
2021-07-13,BAGUETTE,51.0,45.9,0.9,1,7,False,49.0,37.0
2021-07-14,BAGUETTE,63.0,56.7,0.9,2,7,True,51.0,40.0
2021-07-15,BAGUETTE,51.0,45.9,0.9,3,7,False,63.0,33.0
2021-07-16,BAGUETTE,62.0,55.800000000000004,0.9,4,7,False,51.0,36.0
2021-07-17,BAGUETTE,55.0,49.5,0.9,5,7,False,62.0,36.0
2021-07-18,BAGUETTE,87.27999999999997,78.55199999999998,0.9,6,7,False,55.0,75.0
2021-07-19,BAGUETTE,42.0,37.800000000000004,0.9000000000000001,0,7,False,105.0,49.0
2021-07-20,BAGUETTE,56.0,50.4,0.9,1,7,False,42.0,51.0
2021-07-21,BAGUETTE,55.0,49.5,0.9,2,7,False,56.0,63.0
2021-07-22,BAGUETTE,62.0,55.800000000000004,0.9,3,7,False,55.0,51.0
2021-07-23,BAGUETTE,56.0,50.4,0.9,4,7,False,62.0,62.0
2021-07-24,BAGUETTE,59.0,53.1,0.9,5,7,False,56.0,55.0
2021-07-25,BAGUETTE,87.27999999999997,78.55199999999999,0.9000000000000001,6,7,False,59.0,105.0
2021-07-26,BAGUETTE,56.0,50.4,0.9,0,7,False,89.0,42.0
2021-07-27,BAGUETTE,39.0,35.1,0.9,1,7,False,56.0,56.0
2021-07-28,BAGUETTE,48.0,43.2,0.9,2,7,False,39.0,55.0
2021-07-29,BAGUETTE,56.0,50.4,0.9,3,7,False,48.0,62.0
2021-07-30,BAGUETTE,63.0,56.7,0.9,4,7,False,56.0,56.0
2021-07-31,BAGUETTE,53.0,47.7,0.9,5,7,False,63.0,59.0
2021-08-01,BAGUETTE,78.0,70.2,0.9,6,8,False,53.0,89.0
2021-08-02,BAGUETTE,69.0,62.1,0.9,0,8,False,78.0,56.0
2021-08-03,BAGUETTE,84.0,75.60000000000001,0.9000000000000001,1,8,False,69.0,39.0
2021-08-04,BAGUETTE,57.0,51.300000000000004,0.9,2,8,False,84.0,48.0
2021-08-05,BAGUETTE,46.0,41.4,0.9,3,8,False,57.0,56.0
2021-08-06,BAGUETTE,51.0,45.9,0.9,4,8,False,46.0,63.0
2021-08-07,BAGUETTE,64.0,57.6,0.9,5,8,False,51.0,53.0
2021-08-08,BAGUETTE,87.27999999999997,78.55199999999998,0.9,6,8,False,64.0,78.0
2021-08-09,BAGUETTE,69.0,62.1,0.9,0,8,False,88.0,69.0
2021-08-10,BAGUETTE,58.0,52.2,0.9,1,8,False,69.0,84.0
2021-08-11,BAGUETTE,69.0,62.1,0.9,2,8,False,58.0,57.0
2021-08-12,BAGUETTE,80.0,72.0,0.9,3,8,False,69.0,46.0
2021-08-13,BAGUETTE,56.0,50.4,0.9,4,8,False,80.0,51.0
2021-08-14,BAGUETTE,64.0,57.6,0.9,5,8,False,56.0,64.0
2021-08-15,BAGUETTE,87.27999999999997,78.55199999999998,0.9,6,8,True,64.0,88.0
2021-08-16,BAGUETTE,53.0,47.7,0.9,0,8,False,103.0,69.0
2021-08-17,BAGUETTE,55.0,49.5,0.9,1,8,False,53.0,58.0
2021-08-18,BAGUETTE,55.0,49.5,0.9,2,8,False,55.0,69.0
2021-08-19,BAGUETTE,53.0,47.7,0.9,3,8,False,55.0,80.0
2021-08-20,BAGUETTE,55.0,49.5,0.9,4,8,False,53.0,56.0
2021-08-21,BAGUETTE,74.0,66.6,0.8999999999999999,5,8,False,55.0,64.0
2021-08-22,BAGUETTE,68.0,61.2,0.9,6,8,False,74.0,103.0
2021-08-23,BAGUETTE,69.0,62.1,0.9,0,8,False,68.0,53.0
2021-08-24,BAGUETTE,81.0,72.9,0.9,1,8,False,69.0,55.0
2021-08-25,BAGUETTE,55.0,49.5,0.9,2,8,False,81.0,55.0
2021-08-26,BAGUETTE,68.0,61.2,0.9,3,8,False,55.0,53.0
2021-08-27,BAGUETTE,38.0,34.2,0.9,4,8,False,68.0,55.0
2021-08-28,BAGUETTE,65.0,58.5,0.9,5,8,False,38.0,74.0
2021-08-29,BAGUETTE,76.0,68.4,0.9,6,8,False,65.0,68.0
2021-08-30,BAGUETTE,33.0,29.700000000000003,0.9000000000000001,0,8,False,76.0,69.0
2021-08-31,BAGUETTE,35.0,31.5,0.9,1,8,False,33.0,81.0
2021-09-01,BAGUETTE,33.0,29.700000000000003,0.9000000000000001,2,9,False,35.0,55.0
2021-09-02,BAGUETTE,29.0,26.1,0.9,3,9,False,33.0,68.0
2021-09-03,BAGUETTE,36.0,32.4,0.8999999999999999,4,9,False,29.0,38.0
2021-09-04,BAGUETTE,49.0,44.1,0.9,5,9,False,36.0,65.0
2021-09-05,BAGUETTE,76.0,68.4,0.9,6,9,False,49.0,76.0
2021-09-06,BAGUETTE,38.0,34.2,0.9,0,9,False,76.0,33.0
2021-09-07,BAGUETTE,47.0,42.300000000000004,0.9000000000000001,1,9,False,38.0,35.0
2021-09-08,BAGUETTE,18.0,16.2,0.8999999999999999,2,9,False,47.0,33.0
2021-09-09,BAGUETTE,39.0,35.1,0.9,3,9,False,18.0,29.0
2021-09-10,BAGUETTE,32.0,28.8,0.9,4,9,False,39.0,36.0
2021-09-11,BAGUETTE,67.0,60.300000000000004,0.9,5,9,False,32.0,49.0
2021-09-12,BAGUETTE,68.0,61.2,0.9,6,9,False,67.0,76.0
2021-09-13,BAGUETTE,47.0,42.300000000000004,0.9000000000000001,0,9,False,68.0,38.0
2021-09-14,BAGUETTE,24.0,21.6,0.9,1,9,False,47.0,47.0
2021-09-15,BAGUETTE,24.0,21.6,0.9,2,9,False,24.0,18.0
2021-09-16,BAGUETTE,37.0,33.300000000000004,0.9000000000000001,3,9,False,24.0,39.0
2021-09-17,BAGUETTE,29.0,26.1,0.9,4,9,False,37.0,32.0
2021-09-18,BAGUETTE,48.0,43.2,0.9,5,9,False,29.0,67.0
2021-09-19,BAGUETTE,39.0,35.1,0.9,6,9,False,48.0,68.0
2021-09-20,BAGUETTE,29.0,26.1,0.9,0,9,False,39.0,47.0
2021-09-21,BAGUETTE,24.0,21.6,0.9,1,9,False,29.0,24.0
2021-09-22,BAGUETTE,3.0,2.7,0.9,2,9,False,24.0,24.0
2021-09-23,BAGUETTE,27.0,24.3,0.9,3,9,False,3.0,37.0
